Px_SA,Py_SA,Px_SS,Py_SS,Px_SN,Py_SN,Px_SH,Py_SH,Px_SW,Py_SW
0.0652,0.2391,0.0545,0.0435,0.0545,0.1087,0.0545,0.0217,0.0545,0
0.1522,0.2174,0.1455,0.0217,0.1455,0.1304,0.1455,0.0217,0.1455,0.0217
0.1304,0,0.1273,0.2826,0.1273,0.1304,0.1273,0.0435,0.1273,0.2609
0.1739,0.0435,0.1636,0.413,0.1636,0.1956522,0.1636,0.087,0.1636,0.4348
0.087,0,0.0909,0.1956522,0.0909,0.1522,0.0909,0.0652,0.0909,0.1522
0.1304,0.0217,0.1273,0.0435,0.1273,0.087,0.1273,0.0652,0.1273,0.1087
0.1304,0,0.1273,0,0.1273,0.087,0.1273,0.2391,0.1273,0.0217
0.087,0,0.0909,,0.0909,0.0435,0.0909,0.3261,0.0909,0
0.0217,0,0.0364,,0.0364,0.0652,0.0364,0.0652,0.0364,
0,0,0,,0,0,0,0.0435,0,
0,0,0,,0,,0,0.0217,0,
0.0217,0.0217,0.0182,,0.0182,,0.0182,0,0.0182,
0,0.0217,0,,0,,0,,0,
,0,0,,0,,0,,0,
,0.0217,0.0182,,0.0182,,0.0182,,0.0182,
,0.0217,0,,0,,0,,0,
,0.0435,,,,,,,,
,0,,,,,,,,
,0,,,,,,,,
,0,,,,,,,,
,0.0435,,,,,,,,
,0.0217,,,,,,,,
,0,,,,,,,,
,0.0217,,,,,,,,
,0,,,,,,,,
,0.0217,,,,,,,,
,0.0217,,,,,,,,
,0.0652,,,,,,,,
,0.0217,,,,,,,,
,0,,,,,,,,
,0.0217,,,,,,,,
,0.0217,,,,,,,,
,0.0217,,,,,,,,
,0,,,,,,,,
,0,,,,,,,,
,0,,,,,,,,
,0,,,,,,,,
,0.0217,,,,,,,,
,0,,,,,,,,
,0.0435,,,,,,,,
,0,,,,,,,,
